"project_id"	"source_id"	"headline"	"agency"	"date"
2349	4532	"China donates medical equipment to Guinea"	"BBC Monitoring Africa"	"17 March 2006"
12448	5036	"China donates medical equipment to Uganda"	"BBC Monitoring Asia Pacific"	"30 June 2009"
23467	6692	"China donates medical equipment to Uganda"	"BBC Monitoring Asia Pacific"	"30 June 2009"
12373	5023	"China donates medical equipment to Uganda"	"BBC Monitoring Asia Pacific"	"30 June 2009"
1032	2143	"China donates medical equipment, contraceptives to Kenya"	"BBC Monitoring Asia Pacific"	"22 August 2003"
2100	4109	"China donates medicine to Togo"	"Xinhua News Agency"	"25 March 2005"
918	1944	"China donates military equipment to Madagascar"	"BBC Monitoring Africa"	"14 September 2006"
919	1945	"China donates military equipment to Madagascar"	"BBC Monitoring Africa"	"14 September 2006"
754	1647	"China donates military equipment to Mozambican armed forces."	"BBC Monitoring Africa"	"15 November 2002"
1937	3806	"China Donates Military Equipment to Senegal"	"Global Insight Daily Analysis"	"5 December 2007"
2245	4348	"China donates military equipment to Sierra Leone"	"BBC Monitoring Africa"	"15 March 2006"
12946	5076	"China Donates Mine-sweepers to Eritrea."	"Xinhua News Agency"	"16 November 2001"
601	1354	"China Donates Mine-sweepers to Eritrea."	"Xinhua News Agency"	"16 November 2001"
496	1163	"China Donates Mine-sweepers to Eritrea."	"Xinhua News Agency"	"16 November 2001"
929	1956	"China Donates Money to Help Mozambican Flood Victims."	"Xinhua News Agency"	"20 November 2000"
1728	3448	"China donates money, farming tools to Liberia"	"BBC Monitoring Africa"	"8 June 2010"
1729	3449	"China donates money, farming tools to Liberia"	"BBC Monitoring Africa"	"8 June 2010"
2058	4038	"China donates Morocco $1.4m for schooling"	"UMCI News"	"25 October 2009"
1746	3481	"China donates mosquito nets to foundation in Ghana"	"Xinhua News Agency"	"6 December 2006"
2465	4755	"China donates musical instruments to Sudan"	"BBC Monitoring Asia Pacific"	"14 March 2011"
296	737	"China donates new modern school to Cameroon"	"Xinhua's China Economic Information Service"	"12 October 2007"
1245	2563	"China Donates Non-Lethal Aid to FADM"	"All Africa"	"26 May 2011"
2124	4142	"China Donates Office Equipment for OAU Summit."	"Xinhua News Agency"	"29 June 2001"
14529	5244	"China Donates Office Equipment for OAU Summit."	"Xinhua News Agency"	"29 June 2001"
2113	4128	"China Donates Office Equipment for OAU Summit."	"Xinhua News Agency"	"29 June 2001"
719	1581	"China donates office equipment to Cote d'Ivoire foreign ministry"	"Xinhua News Agency"	"30 December 2008"
674	1483	"China donates office equipment to Egypt's women"	"Xinhua News Agency"	"17 June 2010"
575	1322	"China donates office equipment to Ethiopia."	"BBC Monitoring Asia Pacific - Political"	"14 October 2000"
1038	2152	"China donates office equipment to Kenyan journalists union"	"Xinhua News Agency"	"7 December 2004"
927	1954	"China Donates Office Equipment to Ministry of Tourism."	"All Africa"	"1 October 2003"
2252	4358	"China donates office equipment to Somalia"	"Xinhua News Agency"	"16 December 2004"
16401	5485	"China Donates Office Equipment to Zimbabwe."	"Xinhua News Agency"	"16 February 2000"
933	1966	"China Donates Over M33,000 to Office of First Lady."	"All Africa"	"25 August 2003"
14838	5263	"China donates raincoats and computers to Zambia police."	"Xinhua News Agency"	"11 September 2003"
2212	4295	"China donates raincoats and computers to Zambia police."	"Xinhua News Agency"	"11 September 2003"
1031	2142	"China donates relief goods to Kenyan flood victims."	"Xinhua News Agency"	"22 May 2003"
11273	4879	"China donates relief goods to Kenyan flood victims."	"Xinhua News Agency"	"22 May 2003"
1036	2149	"China donates relief goods to victims of flood in Kenya."	"BBC Monitoring Asia Pacific"	"22 May 2003"
25512	6833	"China donates relief goods to victims of flood in Kenya."	"BBC Monitoring Asia Pacific"	"22 May 2003"
2353	4538	"China donates rice, fertilizer to Guinea"	"BBC Monitoring Africa"	"1 November 2006"
187	500	"China donates rice, fertilizer to Guinea"	"BBC Monitoring Africa"	"1 November 2006"
2356	4543	"China donates rice, fertilizer to Guinea"	"BBC Monitoring Africa"	"1 November 2006"
2352	4537	"China donates rice, fertilizer to Guinea"	"BBC Monitoring Africa"	"1 November 2006"
2354	4540	"China donates rice, fertilizer to Guinea"	"BBC Monitoring Africa"	"1 November 2006"
14612	5248	"China Donates Sh1 Billion Malaria Drugs"	"All Africa"	"10 October 2010"
23467	6696	"China Donates Sh1 Billion Malaria Drugs"	"All Africa"	"10 October 2010"
14622	5249	"China Donates Sh1 Billion Malaria Drugs"	"All Africa"	"10 October 2010"
12177	4988	"China Donates Sh1 Billion Malaria Drugs"	"All Africa"	"10 October 2010"
16699	5547	"China donates sport equipment to Zimbabwe."	"BBC Monitoring Africa - Political"	"4 January 2002"
1934	3803	"China donates sporting gear to Tanzania"	"APANEWS"	"26 October 2011"
444	1046	"China donates ten military vehicles to DRC"	"Xinhua News Agency"	"7 November 2007"
2455	4743	"China donates ten mobile clinics to Sudan"	"BBC Monitoring Middle East"	"3 June 2010"
2451	4738	"China donates three million dollars to Sudan in support of upcoming polls"	"BBC Monitoring Middle East"	"28 December 2009"
1987	3898	"China donates to Nigeria equipment to combat avian influenza"	"BBC Monitoring Africa"	"16 November 2007"
1444	2904	"China donates tractors, water pumps to Tanzania."	"Xinhua News Agency"	"29 January 2003"
15026	5283	"China donates trucks to Ugandan army."	"Kyodo News"	"1 March 2002"
2458	4747	"China donates trucks to Ugandan army."	"Kyodo News"	"1 March 2002"
1045	2166	"China donates TV equipment to Kenya Broadcasting Corporation"	"BBC Monitoring Asia Pacific"	"25 January 2005"
22333	6570	"China Donates U.S.$14 Million Food to Country"	"All Africa"	"19 September 2011"
377	901	"China Donates US $106,000 Towards National Dialogue."	"All Africa"	"10 March 2003"
2347	4528	"China donates vehicles to Guinea"	"BBC Monitoring Asia Pacific"	"30 July 2004"
1493	2989	"China donates vehicles to Tanzanian police force."	"BBC Monitoring Africa"	"17 March 2003"
1492	2987	"China donates vehicles to Zanzibar."	"Xinhua News Agency"	"26 October 2003"
2291	4436	"China donates vehicles, media equipment to Zambia"	"Xinhua News Agency"	"13 October 2006"
25039	6805	"China donates vehicles, media equipment to Zambia"	"Xinhua News Agency"	"13 October 2006"
2006	3935	"China donates vehicles, other equipment to Ghana Armed Forces"	"BBC Monitoring Africa"	"8 June 2010"
2048	4021	"China donates water engineering equipment to Morocco"	"Xinhua News Agency"	"19 October 2007"
24549	6759	"China Doubles Its Scholarships for African Students"	"All Africa"	"25 August 2008"
1875	3704	"China Doubles Its Scholarships for African Students"	"All Africa"	"25 August 2008"
2372	4585	"China driving harder bargains in Africa"	"International Herald Tribune"	"26 March 2009"
1792	3556	"China earmarks more aid for Liberia"	"APANEWS"	"18 March 2011"
1791	3552	"China earmarks more aid for Liberia"	"APANEWS"	"18 March 2011"
1790	3550	"China earmarks more aid for Liberia"	"APANEWS"	"18 March 2011"
922	1949	"CHINA ELIMINATES SOME LESOTHO DEBT."	"SAPA (South African Press Association)"	"10 December 2001"
913	1938	"CHINA ELIMINATES SOME LESOTHO DEBT."	"SAPA (South African Press Association)"	"10 December 2001"
609	1371	"China energy: Efforts to diversify oil supplies"	"Economist Intelligence Unit - Executive Briefing"	"16 February 2004"
1029	2140	"China enhances agro-cooperation with Kenya."	"Xinhua News Agency"	"26 February 2003"
24931	6798	"China Establishes Spinning Company in Mauritius"	"SinoCast China Business Daily News (Abstracts)"	"12 November 2003"
1142	2369	"China Establishes Spinning Company in Mauritius"	"SinoCast China Business Daily News (Abstracts)"	"12 November 2003"
577	1326	"China Ex-Im Bank loans $60 mln to Eritrea for mine"	"Reuters News"	"16 November 2007"
578	1327	"China Ex-Im Bank loans $60 mln to Eritrea for mine"	"Reuters News"	"16 November 2007"
636	1423	"China Exclusive: China-Africa resources cooperation helps realize sustainable development in Africa"	"Xinhua News Agency"	"15 January 2006"
715	1574	"China Exim Bank grants Cote d'Ivoire 30m dollars to boost interconnectivity"	"BBC Monitoring Africa"	"2 July 2008"
506	1188	"China Exim Bank grants soft loan to Egyptian company"	"Industry Updates"	"21 November 2005"
606	1365	"China Exim Bank lends Kenya $97 mln for geothermal"	"Reuters News"	"13 April 2010"
1263	2594	"China Exim Bank lends Kenya $97 mln for geothermal"	"Reuters News"	"13 April 2010"
1967	3866	"China Exim Bank to finance railway project in Mauritania"	"Xinhua News Agency"	"23 January 2008"
1961	3856	"China Exim Bank to finance railway project in Mauritania"	"Xinhua News Agency"	"23 January 2008"
184	485	"China Exim Bank to finance railway project in Mauritania"	"Xinhua News Agency"	"23 January 2008"
976	2040	"China Exim finances Zimbabwean telecoms"	"Trade Finance"	"2 March 2011"
22279	6558	"China Exim funds Zimbabwean telco"	"Trade Finance"	"3 August 2011"
158	406	"CHINA EXIMBANK OFFER LOANS TO SUDAN FOR ITS OIL AND POWER INDUSTRY."	"Interfax China Weekly Business"	"5 June 2002"
2152	4208	"CHINA EXIMBANK OFFER LOANS TO SUDAN FOR ITS OIL AND POWER INDUSTRY."	"Interfax China Weekly Business"	"5 June 2002"
2149	4200	"CHINA EXIMBANK OFFER LOANS TO SUDAN FOR ITS OIL AND POWER INDUSTRY."	"Interfax China Weekly Business"	"5 June 2002"
2150	4201	"CHINA EXIMBANK OFFER LOANS TO SUDAN FOR ITS OIL AND POWER INDUSTRY."	"Interfax China Weekly Business"	"5 June 2002"
349	843	"China Eximbank President: To Loan Cameroon CNY10 Bln In 2010-2011"	"Dow Jones Commodities Service"	"12 January 2011"
2032	3991	"China Eximbank Signs US$10.4-Bil. Ghana Infrastructural Development Loan Accord"	"IHS Global Insight Daily Analysis"	"23 September 2010"
2033	3994	"China Eximbank Signs US$10.4-Bil. Ghana Infrastructural Development Loan Accord"	"IHS Global Insight Daily Analysis"	"23 September 2010"
28056	6945	"China Eximbank Signs US$10.4-Bil. Ghana Infrastructural Development Loan Accord"	"IHS Global Insight Daily Analysis"	"23 September 2010"
1793	3558	"China expands its farmland into Africa; Country hopes to feed 1.3 billion people"	"National Post"	"10 May 2008"
68	159	"China Export-Import bank lends Angola $500 mln"	"Reuters News"	"9 July 2010"
2158	4218	"China Extends $10 Mln Loan to Sudan."	"Sudanese News Digest""www.rayaam.net [http://www.rayaam.net/]"	"18 August 2003"
399	944	"China extends 20m Yuan loan to Djibouti"	"BBC Monitoring Africa"	"30 October 2009"
1846	3648	"China extends 6.4m US dollar loan to Morocco for dam building."	"BBC Monitoring Middle East"	"25 October 2002"
36	80	"China Extends Another Grant to Country"	"All Africa"	"4 December 2009"
39	87	"China Extends Another Grant to Country"	"All Africa"	"4 December 2009"
40	94	"China Extends Another Grant to Country"	"All Africa"	"4 December 2009"
38	85	"China Extends Another Grant to Country"	"All Africa"	"4 December 2009"
1853	3662	"China extends four-million-euro loan to Morocco."	"Agence France Presse"	"31 December 2003"
1824	3613	"China extends four-million-euro loan to Morocco."	"Agence France Presse"	"31 December 2003"
2133	4165	"China extends Niger $95m loan for uranium project"	"Reuters News"	"24 April 2009"
256	674	"China extends Niger $95m loan for uranium project"	"Reuters News"	"24 April 2009"
2154	4210	"China extends to Sudan 2.5m dollars grant to rehabilitate Radiotherapy Hospital."	"BBC Monitoring Middle East"	"22 September 2002"
18845	5912	"China Extends US $5,8 Million Grant to Refurbish Stadium"	"All Africa"	"19 October 2006"
1266	2601	"China Eyes Investment Prospects"	"All Africa"	"19 November 2004"
1338	2729	"China eyes Namibia's minerals"	"ISI Emerging Markets Africawire"	"26 May 2010"
19959	6091	"China farms the world to feed a ravenous economy"	"The Canadian Press"	"2 May 2008"
18215	7141	"China farms the world to feed a ravenous economy"	"The Canadian Press"	"2 May 2008"
791	1725	"China feeds Guinea-Bissau soldiers to show support"	"Reuters News"	"23 September 2009"
2316	4482	"China firm to spend $400 mln on Zambia power project"	"Reuters News"	"26 September 2008"
354	860	"China firm to spend $400 mln on Zambia power project"	"Reuters News"	"26 September 2008"
323	796	"China firms plan Cameroon cement, fertiliser plants"	"Reuters News"	"27 November 2008"
322	794	"China firms plan Cameroon cement, fertiliser plants"	"Reuters News"	"27 November 2008"
21911	6490	"China FM urges West to lift sanctions on Zimbabwe"	"Agence France Presse"	"11 February 2011"
1153	7007	"China Focus: Officials urge unbiased view of China-Africa cooperation"	"Xinhua News Agency"	"11 November 2011"
1441	2898	"China Focus: Officials urge unbiased view of China-Africa cooperation"	"Xinhua News Agency"	"11 November 2011"
1989	7008	"China Focus: Officials urge unbiased view of China-Africa cooperation"	"Xinhua News Agency"	"11 November 2011"
440	7009	"China Focus: Officials urge unbiased view of China-Africa cooperation"	"Xinhua News Agency"	"11 November 2011"
1347	7010	"China Focus: Officials urge unbiased view of China-Africa cooperation"	"Xinhua News Agency"	"11 November 2011"
13260	5102	"China Foreign minister on three-day working visit to Guinea"	"APANEWS"	"14 February 2011"
1102	2279	"China Forges New Links with Mozambique"	"WMRC Daily Analysis"	"7 April 2004"
1105	2287	"China Forges New Links with Mozambique"	"WMRC Daily Analysis"	"7 April 2004"
28162	6962	"China Forges New Links with Mozambique"	"WMRC Daily Analysis"	"7 April 2004"
1103	2280	"China Forges New Links with Mozambique"	"WMRC Daily Analysis"	"7 April 2004"
1104	2285	"China Forges New Links with Mozambique"	"WMRC Daily Analysis"	"7 April 2004"
1107	2290	"China Forges New Links with Mozambique"	"WMRC Daily Analysis"	"7 April 2004"
1106	2289	"China Forges New Links with Mozambique"	"WMRC Daily Analysis"	"7 April 2004"
15193	5302	"China forgives $200m Zambia debt"	"African Business"	"1 January 2007"
2296	4445	"China forgives $200m Zambia debt"	"African Business"	"1 January 2007"
156	394	"China forgives $200m Zambia debt"	"African Business"	"1 January 2007"
2301	4454	"China forgives $200m Zambia debt"	"African Business"	"1 January 2007"
2461	4751	"China Forgives US$6 Mil. of Sudanese Debt"	"IHS Global Insight Daily Analysis"	"22 December 2010"
855	1847	"China funds construction of Ivorian Foreign Ministry conference hall"	"BBC Monitoring Africa"	"28 June 2007"
713	1570	"China funds construction of Ivorian Foreign Ministry conference hall"	"BBC Monitoring Africa"	"28 June 2007"
1357	2758	"China Funds Construction Of Low Cost Houses In Zanzibar."	"All Africa"	"1 May 2000"
115	270	"China Funds Construction Of Low Cost Houses In Zanzibar."	"All Africa"	"1 May 2000"
238	625	"China Funds Construction Of Low Cost Houses In Zanzibar."	"All Africa"	"1 May 2000"
1358	2759	"China Funds Construction Of Low Cost Houses In Zanzibar."	"All Africa"	"1 May 2000"
357	867	"China funds development projects in Burundi worth 6m dollars"	"BBC Monitoring Africa"	"26 August 2010"
355	865	"China funds development projects in Burundi worth 6m dollars"	"BBC Monitoring Africa"	"26 August 2010"
115	269	"China funds massive water project in Coast Region."	"BBC Monitoring Africa - Political"	"26 August 2001"
1370	2774	"China funds massive water project in Coast Region."	"BBC Monitoring Africa - Political"	"26 August 2001"
2417	4668	"China Gezhouba Group inks USD 205m deal in Mauritania"	"China News Digest"	"9 February 2010"
704	1550	"China give millions of euros to aid Ivory Coast"	"Agence France Presse"	"4 January 2007"
703	1548	"China give millions of euros to aid Ivory Coast"	"Agence France Presse"	"4 January 2007"
498	1166	"China give millions of euros to aid Ivory Coast"	"Agence France Presse"	"4 January 2007"
709	1557	"China give millions of euros to aid Ivory Coast"	"Agence France Presse"	"4 January 2007"
1473	2952	"China Give o56m to Dangbe."	"All Africa"	"19 June 2002"
1468	2945	"China Give o56m to Dangbe."	"All Africa"	"19 June 2002"
1472	2951	"China Give o56m to Dangbe."	"All Africa"	"19 June 2002"
1477	2965	"China Give o56m to Dangbe."	"All Africa"	"19 June 2002"
1612	3213	"China gives 1m dollar budgetary support to Liberia"	"BBC Monitoring Asia Pacific"	"24 July 2006"
1601	3193	"China gives 2 mln usd to new Liberian government"	"AFX Asia"	"17 January 2006"
16840	5580	"China gives 5 million dollar grant to Zimbabwe for food, irrigation."	"BBC Monitoring Africa"	"16 December 2002"
27819	6919	"China gives 5 million dollar grant to Zimbabwe for food, irrigation."	"BBC Monitoring Africa"	"16 December 2002"
673	7077	"China gives Botswana 3m-dollar grant"	"BBC Monitoring Africa"	"4 December 2009"
974	2032	"China gives Cameroon 49m-dollar loan to build Mekin power station"	"BBC Monitoring Asia Pacific"	"9 January 2010"
274	700	"China gives Cameroon over 7m-dollar non-interest loan"	"BBC Monitoring Africa"	"28 March 2010"
12056	4972	"China gives Cameroon over 7m-dollar non-interest loan"	"BBC Monitoring Africa"	"28 March 2010"
22601	6602	"China gives Cameroon over 7m-dollar non-interest loan"	"BBC Monitoring Africa"	"28 March 2010"
22595	6600	"China gives Cameroon over 7m-dollar non-interest loan"	"BBC Monitoring Africa"	"28 March 2010"
343	831	"China gives Cameroon over 7m-dollar non-interest loan"	"BBC Monitoring Africa"	"28 March 2010"
21041	6347	"China Gives Country U.S.$2,9 Million Grant"	"All Africa"	"11 March 2010"
2052	4026	"China gives donation to assist northern Ghana flood victims"	"BBC Monitoring Africa"	"24 November 2010"
459	1084	"China gives DRCongo nearly 8-mln-dlr donation"	"Agence France Presse"	"13 January 2011"
1451	2913	"China gives Ethiopia $12.1 mln in grants, loans"	"Reuters News"	"18 April 2011"
13208	5096	"China gives Ethiopia $12.1 mln in grants, loans"	"Reuters News"	"18 April 2011"
1452	2914	"China gives Ethiopia $12.1 mln in grants, loans"	"Reuters News"	"18 April 2011"
2004	3932	"China gives Ghana 273m dollars for expansion of water supply project"	"BBC Monitoring Africa"	"11 January 2010"
1690	3370	"China gives Ghana 3.6m dollars for economic, technical projects"	"BBC Monitoring Africa"	"1 June 2005"
1873	3701	"China gives Ghana 30m dollars for broadband infrastructure"	"BBC Monitoring Africa"	"27 May 2008"
1862	3681	"China gives Ghana 30m dollars for broadband infrastructure"	"BBC Monitoring Africa"	"27 May 2008"
1859	3672	"China gives Ghana 30m dollars for broadband infrastructure"	"BBC Monitoring Africa"	"27 May 2008"
1766	3515	"China gives Ghana loan for infrastructural development"	"BBC Monitoring Asia Pacific"	"4 October 2006"
1865	3687	"China gives Ghana over 4m dollars in loan"	"BBC Monitoring Africa"	"25 September 2007"
2355	4542	"China gives Guinea 9m dollars for state communication project"	"BBC Monitoring Africa"	"29 December 2006"
13479	5137	"China gives humanitarian aid to Tunisia"	"Daily The Pak Banker"	"9 April 2011"
2474	4774	"China gives humanitarian aid to Tunisia"	"Daily The Pak Banker"	"9 April 2011"
1068	2207	"China Gives Kenya Sh200m for New Projects"	"All Africa"	"23 February 2005"
1600	3192	"China gives Liberia 1m dollars of agricultural tools"	"BBC Monitoring Africa"	"6 January 2006"
1599	3190	"China gives Liberia 1m dollars of agricultural tools"	"BBC Monitoring Africa"	"6 January 2006"
1603	3197	"China gives Liberia 25m-dollar loan for reconstruction"	"BBC Monitoring Africa"	"20 January 2006"
1602	3195	"China gives Liberia 25m-dollar loan for reconstruction"	"BBC Monitoring Africa"	"20 January 2006"
1331	2714	"China gives Mauritania $2.5 mln aid package"	"Reuters News"	"22 May 2006"
2419	4675	"China gives Mauritania one million euros in military aid"	"Agence France Presse"	"20 April 2010"
2417	4665	"China gives Mauritania one million euros in military aid"	"Agence France Presse"	"20 April 2010"
17820	5746	"China gives Mauritania one million euros in military aid"	"Agence France Presse"	"20 April 2010"
1316	2693	"China Gives N$65 Million Grant"	"All Africa"	"10 February 2009"
11142	4870	"China Gives N$65 Million Grant"	"All Africa"	"10 February 2009"
1296	2666	"China Gives N$65 Million Grant"	"All Africa"	"10 February 2009"
433	1014	"China gives record 1bn yuan in international aid during 2005"	"BBC Monitoring Asia Pacific"	"18 January 2006"
1170	2442	"China gives record 1bn yuan in international aid during 2005"	"BBC Monitoring Asia Pacific"	"18 January 2006"
1702	3394	"China gives Senegal more than 21 million euros for national theatre"	"Agence France Presse"	"7 December 2007"
12280	5010	"China gives sh148b for development"	"ISI Emerging Markets Africawire"	"14 January 2009"
11357	4884	"China Gives Shs2b for Agriculture Schools"	"All Africa"	"29 October 2007"
11347	4883	"China Gives Shs2b for Agriculture Schools"	"All Africa"	"29 October 2007"
2243	4342	"China gives Sierra Leone ""large consignment"" of agricultural equipment"	"BBC Monitoring Africa"	"31 March 2006"
14910	5277	"China gives Tanzania 10m-dollar-loan for development projects"	"BBC Monitoring Asia Pacific"	"24 June 2006"
23288	6668	"China gives Tanzania 10m-dollar-loan for development projects"	"BBC Monitoring Asia Pacific"	"24 June 2006"
14888	5269	"China gives Tanzania 10m-dollar-loan for development projects"	"BBC Monitoring Asia Pacific"	"24 June 2006"
14897	5273	"China gives Tanzania 10m-dollar-loan for development projects"	"BBC Monitoring Asia Pacific"	"24 June 2006"
14883	5267	"China gives Tanzania 10m-dollar-loan for development projects"	"BBC Monitoring Asia Pacific"	"24 June 2006"
1522	3035	"China gives Tanzania 10m-dollar-loan for development projects"	"BBC Monitoring Asia Pacific"	"24 June 2006"
23296	6670	"China gives Tanzania 10m-dollar-loan for development projects"	"BBC Monitoring Asia Pacific"	"24 June 2006"
14902	5275	"China gives Tanzania 10m-dollar-loan for development projects"	"BBC Monitoring Asia Pacific"	"24 June 2006"
1918	3780	"China gives Tanzania 180m dollar loan for development programmes"	"BBC Monitoring Africa"	"16 January 2010"
1563	3122	"China gives Togo funds for development projects"	"BBC Monitoring Africa"	"27 October 2009"
12239	4999	"China gives Uganda 400m dollars to aid Somalia peacekeeping mission"	"BBC Monitoring Africa"	"30 December 2008"
12253	5005	"China gives Uganda 77 mln dollars aid to boost development"	"Trend News Agency (Azerbaijan)"" Xinhua  [http://www.xinhua.com/]"	"13 January 2009"
12260	5006	"China gives Uganda 77 mln dollars aid to boost development"	"Trend News Agency (Azerbaijan)"" Xinhua  [http://www.xinhua.com/]"	"13 January 2009"
12268	5009	"China gives Uganda 77 mln dollars aid to boost development"	"Trend News Agency (Azerbaijan)"" Xinhua  [http://www.xinhua.com/]"	"13 January 2009"
2222	4307	"China Gives Zambia $1.1m Grant for Roads Rehabilitation"	"All Africa"	"18 February 2004"
2303	4456	"China gives Zambia 39 million dollars loan for floods disaster"	"Agence France Presse"	"26 April 2007"
15411	5335	"China gives Zambia 53m dollars for mobile hospitals"	"BBC Monitoring Africa"	"3 August 2010"
2324	4496	"China gives Zambia 53m dollars for mobile hospitals"	"BBC Monitoring Africa"	"3 August 2010"
1524	3037	"China grants 2.5 million dollar development loan to Nigeria."	"OPEC News Agency"	"9 September 2003"
645	1440	"China grants 20m dollars in technical assistance."	"BBC Monitoring Africa - Economic"	"11 January 2002"
2389	4615	"China grants 3.72 million dollars in aid to Niger"	"Xinhua News Agency"	"31 December 2005"
15577	5352	"China grants 3.72 million dollars in aid to Niger"	"Xinhua News Agency"	"31 December 2005"
83	185	"China grants 3.72 million dollars in aid to Niger"	"Xinhua News Agency"	"31 December 2005"
20055	6111	"China Grants Additional USD 2 Billion Loan"	"All Africa"	"22 June 2006"
2075	4069	"China grants aid to Seychelles for military training, equipment maintenance"	"BBC Monitoring Africa"	"1 September 2009"
407	961	"China Grants Aid, Interest-Free Loan To Congo - Diplomat"	"Dow Jones International News"	"14 November 2006"
413	971	"China Grants Aid, Interest-Free Loan To Congo - Diplomat"	"Dow Jones International News"	"14 November 2006"
58	136	"China grants Angola 6m-dollar interest-free loan"	"BBC Monitoring Africa"	"25 February 2005"
412	969	"China grants Comoros 4.3m US dollars in financial aid"	"BBC Monitoring Asia Pacific"	"25 January 2010"
700	1543	"China grants Cote d'Ivoire 2.5m dollars"	"BBC Monitoring Africa"	"29 November 2004"
620	1393	"China grants Egypt USD 5.1mn aid to develop agriculture, special education."	"Middle East and North Africa This Week"	"12 September 2008"
619	1392	"China grants Egypt USD 5.1mn aid to develop agriculture, special education."	"Middle East and North Africa This Week"	"12 September 2008"
1244	2561	"China Grants Ghana 3.6 Million U.S. Dollars."	"Xinhua News Agency"	"27 November 2001"
130	302	"China grants Ghana 30 mln dollars for info super highway project"	"Xinhua News Agency"	"15 August 2006"
1751	3490	"China grants Ghana 30 mln dollars for info super highway project"	"Xinhua News Agency"	"15 August 2006"
2027	3968	"China grants Ghana 300m dollars to boost rural electrification in north"	"BBC Monitoring Africa"	"21 August 2010"
743	1623	"China Grants Guinea-Bissau US$3 mil."	"Global Insight Daily Analysis"	"5 January 2007"
783	1712	"China Grants Guinea-Bissau US$3 mil."	"Global Insight Daily Analysis"	"5 January 2007"
782	1709	"China Grants Guinea-Bissau US$3 mil."	"Global Insight Daily Analysis"	"5 January 2007"
1011	2110	"China grants Kenya $3 mln to pay maize farmers."	"Reuters News"	"24 April 2002"
1286	2645	"China Grants Kenya Sh1.2 Billion"	"All Africa"	"3 May 2010"
421	989	"China grants loan worth 12m US dollars for telecommunications."	"BBC Monitoring Africa"	"21 July 2003"
936	1971	"China Grants M20 Million to Lesotho"	"All Africa"	"20 November 2003"
1100	2275	"China Grants M20 Million to Lesotho"	"All Africa"	"20 November 2003"
1372	2776	"China grants Mali 14 mln USD in aid to priority projects"	"Xinhua News Agency"	"16 April 2011"
1547	3073	"China grants Mali 14 mln USD in aid to priority projects"	"Xinhua News Agency"	"16 April 2011"
1549	3075	"China grants Mali 14 mln USD in aid to priority projects"	"Xinhua News Agency"	"16 April 2011"
1548	3074	"China grants Mali 14 mln USD in aid to priority projects"	"Xinhua News Agency"	"16 April 2011"
2057	4036	"China grants Morocco 1.5m US dollars for technological cooperation"	"BBC Monitoring Asia Pacific"	"20 March 2009"
1788	3547	"China grants Morocco 30m dirhams interest-free loan."	"BBC Monitoring Middle East - Economic"	"26 March 2000"
1788	3548	"China grants Morocco 3m dollar loan."	"BBC Monitoring Newsfile"	"25 March 2000"
1853	3661	"China grants Morocco 5m-yuan loan"	"BBC Monitoring Middle East"	"31 December 2003"
1529	3042	"China Grants N97.5bn Debt Relief to Africa."	"All Africa"	"5 September 2003"
2118	4135	"China grants over 10bn shillings to Tanzania-Zambia Railway Authority."	"BBC Monitoring Africa - Political"	"19 July 2001"
1364	2768	"China grants over 10bn shillings to Tanzania-Zambia Railway Authority."	"BBC Monitoring Africa - Political"	"19 July 2001"
1992	3908	"China grants Rwandan president 70,000 US dollars"	"BBC Monitoring Africa"	"8 January 2009"
1943	3817	"China grants Senegal 41-million-euro loan"	"Agence France Presse"	"6 January 2009"
1955	3842	"China grants Senegal 41-million-euro loan"	"Agence France Presse"	"6 January 2009"
140	352	"China grants Senegal 41-million-euro loan"	"Agence France Presse"	"6 January 2009"
1944	3818	"China grants Senegal 41-million-euro loan"	"Agence France Presse"	"6 January 2009"
1575	3139	"China grants Sudan 1.2 m dollars to rehabilitate Darfur"	"BBC Monitoring Middle East"	"20 April 2006"
14113	5196	"China grants Sudan 1.2 m dollars to rehabilitate Darfur"	"BBC Monitoring Middle East"	"20 April 2006"
2415	4662	"China grants Sudan three million US dollars to boost north-south unity"	"BBC Monitoring Middle East"	"1 December 2008"
1569	3131	"China grants Togo 11m dollars new parliament, roads"	"BBC Monitoring Africa"	"27 August 2010"
1557	3107	"China Grants US$6m for SKD, Foreign Ministry Rehab."	"All Africa"	"8 February 2005"
1556	3103	"China Grants US$6m for SKD, Foreign Ministry Rehab."	"All Africa"	"8 February 2005"
1589	3167	"China Grants US$6m for SKD, Foreign Ministry Rehab."	"All Africa"	"8 February 2005"
17172	5634	"China Grants Zim Tourism Destination Status"	"All Africa"	"17 December 2003"
27714	6916	"China grants Zimbabwe 58 million US agriculture deal"	"Agence France Presse"	"21 April 2007"
19208	5981	"China grants Zimbabwe 58 million US agriculture deal"	"Agence France Presse"	"21 April 2007"
19193	5976	"China grants Zimbabwe 58 million US agriculture deal"	"Agence France Presse"	"21 April 2007"
1288	2648	"China Hails Namibia's Support"	"All Africa"	"8 July 2005"
1151	2392	"China handed over wastewater treatment plant to Mauritius"	"BBC Monitoring Asia Pacific"	"6 December 2007"
1249	2569	"China hands over agrarian transfer to Mozambique"	"Xinhua News Agency"	"9 July 2011"
1215	2513	"China hands over agrarian transfer to Mozambique"	"Xinhua News Agency"	"9 July 2011"
